timestamp_ms,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,rssi_MAC1,rssi_MAC2
84506,0.1752,0.1509,0.9843,-3.8452,-1.3428,-0.7935,0,-13,9,-72,-73
84958,0.0795,0.1224,0.9323,-2.8076,-2.0752,-3.9062,2,-16,10,-81,-70
85399,0.0963,0.1672,1.2368,-2.4414,2.9297,11.5356,1,-4,1,-83,-60
85826,0.1962,0.1311,0.9617,5.3101,11.3525,10.498,0,-4,3,-74,-62
86266,0.1486,0.1542,1.0084,8.4839,10.2539,-5.249,-1,-8,5,   NA ,-66
86703,-0.0039,0.1359,1.077,-9.2773,-3.54,-7.019,-2,-13,6,-66,-68
87153,-0.271,0.1521,1.1014,1.1597,-12.2681,20.813,-1,0,1,-66,-73
87582,0.1191,0.1875,0.871,-6.5918,39.3677,-2.3193,-5,-3,3,-62,-67
87995,0.1776,0.2244,1.026,-10.9863,12.5732,-9.0332,-2,-6,6,-67,-67
88420,0.0741,0.1274,0.929,7.9956,-13.6108,1.2207,-6,-9,5,-61,-66
88863,-0.1053,0.0928,1.0164,-0.9155,-13.916,4.9438,-8,-2,5,-66,-72
89281,0.1254,0.2457,1.2383,1.4648,5.5542,20.6299,-5,8,1,-66,-73
89712,0.2045,0.2247,0.9795,-0.7324,4.6997,-12.5122,-1,-1,4,-61,-75
90138,0.1675,0.1489,1.0181,2.7466,-4.2725,-6.1646,1,-1,3,-73,-77
90580,-0.0026,0.1244,1.0427,-5.6152,-20.813,2.9907,3,0,4,-68,-83
91027,0.3484,0.1869,0.7404,5.7983,-17.8833,5.7373,7,-16,7,   NA ,   NA 
91454,0.2384,0.1796,1.0048,4.8218,-0.7935,-7.0801,0,-33,5,-66,-76
91894,0.2202,0.1453,1.0233,3.7842,-6.1035,-7.6294,-7,-40,0,-62,-77
92340,-0.0303,0.1438,1.2401,-2.6855,-40.2222,16.5405,-18,-35,4,-62,   NA 
92790,0.142,0.1802,0.9327,-14.1602,37.6587,0,-26,-13,3,-60,-80
93216,0.2371,0.1855,0.8958,-4.1504,6.1646,-3.2349,-26,-16,1,-57,-78
93661,0.2074,0.1016,1.0219,7.019,-15.1978,-6.4087,-25,-12,1,-57,-76
94110,-0.1548,0.1676,1.1873,-15.3198,-6.2866,11.7187,-20,-3,5,-54,-79
94545,0.2753,0.2855,0.8678,-10.5591,33.3862,-1.9531,-13,-7,4,-55,-76
94995,0.3247,0.1794,0.9374,-1.0376,0.2441,-5.127,-11,-10,7,-60,-74
95429,0.1232,0.1156,0.9282,0.9155,5.3711,-6.2866,-11,-10,1,-56,   NA 
95884,0.2823,0.2384,1.2322,12.9395,4.3335,6.6528,-9,-5,4,-59,-78
96316,0.2883,0.2437,1.0208,3.3569,21.8506,-8.9722,-9,-10,6,-62,-76
96768,0.2036,0.1443,0.959,4.3335,0.6714,-4.6387,-9,-13,3,-67,   NA 
97218,-0.0126,0.0957,0.8434,3.9062,-51.5747,-0.4272,-7,-5,-1,-70,-74
97659,0.4761,0.2047,0.8844,8.8501,15.4419,3.6621,-7,-6,1,-57,-80
98107,0.3,0.2627,1.0776,-7.5073,6.4087,-12.5732,-7,-10,3,-78,-77
98554,0.0925,0.2085,0.9908,29.1138,10.8643,-13.4888,-7,-12,3,-52,-79
98997,0.1199,0.0641,0.915,14.2822,2.0752,-8.4229,-6,-12,0,-51,-76
